,Path,CBO,CC,DIT,LCOM,LOC,NOC,RFC,WMC,class_frequency,will_change,number_of_changes,change_probability
985,985,5,3,2,0,5,0,4,0,6,0,0,0
986,986,1,3,0,0,4,0,0,0,6,0,0,0
987,987,1,3,0,0,4,0,0,0,6,0,0,0
988,988,5,3,2,0,5,0,4,0,6,0,0,0
989,989,1,3,0,0,3,0,0,0,6,0,0,0
990,990,1,7,0,0,7,0,0,0,6,0,1,0.166666667
991,991,5,3,2,0,5,0,4,0,6,0,0,0
992,992,1,5,0,0,5,0,0,0,6,0,1,0.166666667
993,993,1,3,0,0,4,0,0,0,6,0,0,0
994,994,1,3,0,0,4,0,0,0,6,0,0,0
995,995,1,3,0,0,3,0,0,0,6,0,0,0
996,996,1,3,0,0,3,0,0,0,6,0,0,0
997,997,1,3,0,0,3,0,0,0,6,0,0,0
998,998,5,3,2,0,5,0,4,0,6,0,0,0
999,999,1,3,0,0,4,0,0,0,6,0,0,0
1000,1000,5,3,2,0,5,0,4,0,6,0,0,0
1001,1001,2,5,0,0,5,0,0,0,6,0,0,0
1002,1002,2,5,0,0,5,0,0,0,6,0,0,0
1003,1003,2,5,0,0,5,0,0,0,6,0,0,0
1004,1004,1,1,0,0,1,0,0,0,6,0,0,0
1005,1005,1,8,0,0,9,0,0,0,6,0,1,0.166666667
1006,1006,5,3,2,0,5,0,4,0,6,0,0,0
1007,1007,1,3,0,0,3,0,0,0,6,0,0,0
1008,1008,5,3,2,0,5,0,4,0,6,0,0,0
1009,1009,1,3,0,0,4,0,0,0,6,0,0,0
1010,1010,4,1,2,0,2,0,3,0,6,0,0,0
1011,1011,2,5,0,0,6,0,1,0,6,0,1,0.166666667
1012,1012,3,1,0,0,1,0,0,0,6,0,0,0
1013,1013,0,1,0,0,1,0,0,0,6,0,0,0
1014,1014,0,1,0,0,1,0,0,0,6,0,0,0
1015,1015,0,1,0,0,1,0,0,0,6,0,0,0
1016,1016,13,22,0,0,87,0,6,10,6,0,1,0.166666667
1017,1017,3,1,0,0,4,0,5,0,6,0,0,0
1018,1018,5,22,0,0.5,34,0,12,1,6,0,3,0.5
1019,1019,10,3,0,0,7,0,10,0,6,0,3,0.5
1020,1020,2,6,0,0,9,0,3,0,6,0,0,0
1021,1021,3,1,0,0,2,0,2,0,6,0,0,0
1022,1022,13,20,0,0,42,0,25,3,6,0,0,0
1023,1023,5,6,0,0,15,0,3,1,6,0,0,0
1024,1024,2,5,0,0,13,0,6,1,6,0,0,0
1025,1025,12,23,0,0.72,64,0,22,8,6,0,1,0.166666667
1026,1026,9,16,0,0.5,18,0,11,3,6,0,0,0
1027,1027,9,12,0,0,29,0,15,0,6,0,1,0.166666667
1028,1028,7,6,0,0,17,0,9,0,6,0,1,0.166666667
1029,1029,7,6,0,0,17,0,9,0,6,0,1,0.166666667
1030,1030,15,2,0,0,6,0,12,0,6,0,0,0
1031,1031,2,2,0,0,2,0,0,0,6,0,1,0.166666667
1032,1032,2,2,0,0,2,0,0,0,6,0,1,0.166666667
1033,1033,2,2,0,0,2,0,0,0,6,0,1,0.166666667
1034,1034,2,2,0,0,2,0,0,0,6,0,1,0.166666667
1035,1035,15,44,0,0,80,0,34,3,6,0,1,0.166666667
1036,1036,3,2,0,0,2,0,0,0,6,0,1,0.166666667
1037,1037,3,2,0,0,2,0,0,0,6,0,1,0.166666667
1038,1038,5,2,0,0,3,0,3,0,6,0,1,0.166666667
1039,1039,8,14,0,0,18,0,6,0,6,0,0,0
1040,1040,4,1,0,0,2,0,2,0,6,0,0,0
1041,1041,7,6,0,0,58,0,16,0,6,0,0,0
1042,1042,1,4,0,0,6,0,2,0,6,0,0,0
1043,1043,5,2,0,0.5,6,0,4,0,6,0,1,0.166666667
1044,1044,6,9,0,0,9,0,4,1,6,0,0,0
1045,1045,4,7,0,0,11,0,6,0,6,0,0,0
1046,1046,5,1,0,0,2,0,2,0,6,0,0,0
1047,1047,1,10,0,0.33,9,0,0,0,6,0,0,0
1048,1048,4,3,2,0,4,0,2,0,6,0,0,0
1049,1049,0,23,0,0,23,0,0,0,6,0,0,0
1050,1050,0,9,0,0,9,0,0,2,6,0,0,0
1051,1051,1,5,0,0.6,7,0,1,0,6,0,0,0
1052,1052,4,3,2,0,4,0,2,0,6,0,0,0
1053,1053,0,19,0,0,25,0,0,0,6,0,0,0
1054,1054,1,9,0,0,9,0,0,0,6,0,0,0
1055,1055,0,34,0,0,38,0,0,0,6,0,1,0.166666667
1056,1056,2,61,0,0,61,0,0,0,6,0,1,0.166666667
1057,1057,6,23,0,0.73,28,1,1,0,6,0,0,0
1058,1058,1,5,0,0.6,7,0,1,0,6,0,0,0
1059,1059,1,9,0,0.78,13,0,1,0,6,0,0,0
1060,1060,4,3,2,0,4,0,2,0,6,0,0,0
1061,1061,0,9,0,0,9,0,0,0,6,0,0,0
1062,1062,3,1,2,0,1,0,1,0,3,0,0,0
1063,1063,4,15,3,0.71,13,0,2,0,6,0,0,0
1064,1064,4,3,2,0,4,0,2,0,6,0,0,0
1065,1065,1,9,0,0.71,9,0,1,0,6,0,0,0
1066,1066,1,9,0,0,9,0,0,0,6,0,0,0
1067,1067,1,7,0,1,7,0,0,0,6,0,0,0
1068,1068,2,6,0,0,7,0,0,0,6,0,0,0
1069,1069,3,5,0,0,7,0,0,0,6,0,0,0
1070,1070,16,66,0,0.93,79,0,27,5,6,0,2,0.333333333
1071,1071,9,33,0,0,22,0,7,0,6,0,0,0
1072,1072,7,37,0,0,29,0,5,0,6,0,1,0.166666667
1073,1073,2,6,0,0,8,0,0,0,6,0,0,0
1074,1074,1,11,0,0,11,0,0,0,6,0,0,0
1075,1075,0,22,0,0,31,0,0,0,6,0,0,0
1076,1076,3,25,0,0.82,30,0,1,0,6,0,0,0
1077,1077,5,3,2,1,4,0,2,0,6,0,0,0
1078,1078,0,13,0,0,13,0,0,0,6,0,0,0
1079,1079,3,8,0,0,9,0,0,0,6,0,0,0
1080,1080,1,36,0,0.9,38,0,1,0,6,0,0,0
1081,1081,1,14,0,0,30,0,0,2,6,0,0,0
1082,1082,1,15,0,0,16,0,0,0,6,0,0,0
