,Path,CBO,CC,DIT,LCOM,LOC,NOC,RFC,WMC,will_change
3601,Application.Areas.RmaAdmin.Controllers.AvailableItemsController,0.09876543209876543,0.014344262295081968,1.0,0.6,0.015339663988312637,0.0,0.04358353510895884,0.0,0
3602,Application.Areas.RmaAdmin.Controllers.BoxLabelController,0.1419753086419753,0.022540983606557378,1.0,0.0,0.02483564645726808,0.0,0.031476997578692496,0.0,0
3606,Application.Areas.RmaAdmin.Controllers.DevolutionApprovalController,0.16666666666666666,0.028688524590163935,1.0,0.42,0.02702702702702703,0.0,0.07506053268765134,0.0,0
3607,Application.Areas.RmaAdmin.Controllers.ErrorController,0.043209876543209874,0.014344262295081968,1.0,0.0,0.008035062089116144,0.0,0.002421307506053269,0.0,0
3609,Application.Areas.RmaAdmin.Controllers.InvaController,0.1419753086419753,0.04918032786885246,1.0,0.56,0.04090577063550037,0.0,0.0774818401937046,0.0,0
3610,Application.Areas.RmaAdmin.Controllers.LostWarrantyItemReportController,0.09876543209876543,0.010245901639344263,1.0,0.0,0.008765522279035792,0.0,0.026634382566585957,0.0,0
3612,Application.Areas.RmaAdmin.Controllers.ReplacedItemsReportController,0.16049382716049382,0.0389344262295082,1.0,0.33,0.026296566837107377,0.0,0.08716707021791768,0.0,0
3615,Application.Areas.RmaAdmin.Controllers.ReturnItemsController,0.14814814814814814,0.0430327868852459,1.0,0.5,0.03798392987582177,0.0,0.05811138014527845,0.0,0
3617,Application.Areas.RmaAdmin.Controllers.RmaAdminController,0.037037037037037035,0.004098360655737705,0.8571428571428571,0.0,0.002191380569758948,0.10582010582010581,0.004842615012106538,0.0,0
3618,Application.Areas.RmaAdmin.Controllers.RmaAgingChart,0.006172839506172839,0.020491803278688527,0.0,0.0,0.01168736303871439,0.0,0.0,0.0,0
3619,Application.Areas.RmaAdmin.Controllers.RmaAgingInProcessChart,0.0,0.020491803278688527,0.0,0.0,0.01168736303871439,0.0,0.0,0.0,0
3620,Application.Areas.RmaAdmin.Controllers.RmaAgingInProcessChartItem,0.0,0.026639344262295084,0.0,0.0,0.015339663988312637,0.0,0.0,0.0,0
3621,Application.Areas.RmaAdmin.Controllers.RMAByCustomerChart,0.0,0.012295081967213115,0.0,0.75,0.008765522279035792,0.0,0.0,0.0,0
3622,Application.Areas.RmaAdmin.Controllers.RMAByCustomerChartSerie,0.0,0.026639344262295084,0.0,0.0,0.015339663988312637,0.0,0.0,0.0,0
3624,Application.Areas.RmaAdmin.Controllers.RMAByTypeChart,0.0,0.010245901639344263,0.0,0.67,0.006574141709276844,0.0,0.0,0.0,0
3625,Application.Areas.RmaAdmin.Controllers.RMAByTypeChartSerie,0.0,0.026639344262295084,0.0,0.0,0.015339663988312637,0.0,0.0,0.0,0
3626,Application.Areas.RmaAdmin.Controllers.RMAByTypePieChart,0.0,0.045081967213114756,0.0,0.0,0.026296566837107377,0.0,0.0,0.0,0
3627,Application.Areas.RmaAdmin.Controllers.RMAByTypePieChartSerie,0.0,0.020491803278688527,0.0,0.0,0.01168736303871439,0.0,0.0,0.0,0
3629,Application.Areas.RmaAdmin.Controllers.RmaDefectsSummaryChart,0.006172839506172839,0.014344262295081968,0.0,0.0,0.008035062089116144,0.0,0.0,0.0,0
3630,Application.Areas.RmaAdmin.Controllers.RMAStatusChart,0.006172839506172839,0.010245901639344263,0.0,0.67,0.006574141709276844,0.0,0.0,0.0,0
3631,Application.Areas.RmaAdmin.Controllers.RMAStatusChartSeries,0.0,0.014344262295081968,0.0,0.0,0.008035062089116144,0.0,0.0,0.0,0
3633,Application.Areas.RmaAdmin.Controllers.SymptomSummaryChart,0.0,0.020491803278688527,0.0,0.0,0.01168736303871439,0.0,0.0,0.0,0
3634,Application.Areas.RmaAdmin.Controllers.SymptomSummaryChartItem,0.0,0.026639344262295084,0.0,0.0,0.015339663988312637,0.0,0.0,0.0,0
3638,Application.Areas.RmaAdmin.Extensions.AuditDbSetExtensions,0.018518518518518517,0.014344262295081968,0.0,0.0,0.050401753104455806,0.0,0.02421307506053269,0.0,0
3639,Application.Areas.RmaAdmin.Extensions.CustomerDbSetExtensions,0.030864197530864196,0.0020491803278688526,0.0,0.0,0.03871439006574142,0.0,0.02179176755447942,0.0,0
3640,Application.Areas.RmaAdmin.Extensions.CustomerUserDbSetExtensions,0.030864197530864196,0.0020491803278688526,0.0,0.0,0.039444850255661065,0.0,0.02421307506053269,0.0,0
3641,Application.Areas.RmaAdmin.Extensions.DevolutionApprovalDbSetExtension,0.08641975308641975,0.0020491803278688526,0.0,0.0,0.08911614317019723,0.0,0.04600484261501211,0.0,0
3643,Application.Areas.RmaAdmin.Extensions.LostWarrantyItemReportDbSetExtensions,0.06172839506172839,0.01639344262295082,0.0,0.0,0.05113221329437546,0.0,0.03389830508474576,0.0,0
3645,Application.Areas.RmaAdmin.Extensions.Plant9ItemReplacementExtensions,0.06790123456790123,0.004098360655737705,0.0,0.0,0.03506208911614317,0.0,0.029055690072639227,0.0,0
3646,Application.Areas.RmaAdmin.Extensions.Plant9RequestItemDbSetExtensions,0.024691358024691357,0.006147540983606557,0.0,0.0,0.01241782322863404,0.0,0.007263922518159807,0.0,0
3648,Application.Areas.RmaAdmin.Extensions.Plant9RmaItemReplacementExtensions,0.06172839506172839,0.010245901639344263,0.0,0.0,0.05113221329437546,0.0,0.029055690072639227,0.0,0
3649,Application.Areas.RmaAdmin.Extensions.Plant9StockReturnHistoryItemExtensions,0.06790123456790123,0.004098360655737705,0.0,0.0,0.039444850255661065,0.0,0.03389830508474576,0.0,0
3650,Application.Areas.RmaAdmin.Extensions.Plant9StockReturnItemTestResultExtensions,0.06172839506172839,0.014344262295081968,0.0,0.0,0.019722425127830533,0.0,0.01937046004842615,0.0,0
3651,Application.Areas.RmaAdmin.Extensions.RequestDbSetExtensions,0.05555555555555555,0.026639344262295084,0.0,0.0,0.08473338203067933,0.0,0.04842615012106538,0.0,0
3654,Application.Areas.RmaAdmin.Extensions.RmaLostWarrantyItemDbSetExtensions,0.006172839506172839,0.006147540983606557,0.0,0.0,0.009495982468955442,0.0,0.002421307506053269,0.0,0
3655,Application.Areas.RmaAdmin.Extensions.SapInvoiceDbSetExtensions,0.06172839506172839,0.06147540983606558,0.0,0.0,0.10007304601899197,0.0,0.10653753026634383,0.0,0
3656,Application.Areas.RmaAdmin.Extensions.SmartUserDbSetExtensions,0.043209876543209874,0.010245901639344263,0.0,0.0,0.029218407596785977,0.0,0.01937046004842615,0.0,0
3657,Application.Areas.RmaAdmin.Extensions.StockInvaHistoryItemDbSetExtensions,0.06790123456790123,0.004098360655737705,0.0,0.0,0.05113221329437546,0.0,0.04116222760290557,0.0,0
3658,Application.Areas.RmaAdmin.Extensions.StockInvaRmaItemTestResultDbSetExtensions,0.06172839506172839,0.014344262295081968,0.0,0.0,0.019722425127830533,0.0,0.02421307506053269,0.0,0
3660,Application.Areas.RmaAdmin.Handlers.AvailableItems.IndexQueryHandler,0.1111111111111111,0.020491803278688527,0.0,0.0,0.02337472607742878,0.0,0.06779661016949153,0.0,0
3661,Application.Areas.RmaAdmin.Handlers.BoxLabel.DetailsQueryHandler,0.08024691358024691,0.026639344262295084,0.0,0.75,0.016800584368151936,0.0,0.04358353510895884,0.0,0
3662,Application.Areas.RmaAdmin.Handlers.BoxLabel.ExportDetailsQueryHandler,0.043209876543209874,0.006147540983606557,0.0,0.0,0.005843681519357195,0.0,0.007263922518159807,0.0,0
3663,Application.Areas.RmaAdmin.Handlers.BoxLabel.FinishCommandHandler,0.08641975308641975,0.00819672131147541,0.0,0.0,0.010226442658875092,0.0,0.053268765133171914,0.0,0
3664,Application.Areas.RmaAdmin.Handlers.BoxLabel.IndexQueryHandler,0.1111111111111111,0.004098360655737705,0.0,0.0,0.006574141709276844,0.0,0.03389830508474576,0.0,0
3666,Application.Areas.RmaAdmin.Handlers.CheckItems.IndexQueryHandler,0.09876543209876543,0.004098360655737705,0.0,0.0,0.005113221329437546,0.0,0.02421307506053269,0.0,0
3667,Application.Areas.RmaAdmin.Handlers.CheckItems.Plant9DetailsItemQueryHandler,0.06790123456790123,0.006147540983606557,0.0,0.0,0.004382761139517896,0.0,0.029055690072639227,0.0,0
3668,Application.Areas.RmaAdmin.Handlers.CheckItems.SaveCommandHandler,0.11728395061728394,0.022540983606557378,0.0,0.5,0.027757487216946677,0.0,0.05084745762711865,0.0,0
3670,Application.Areas.RmaAdmin.Handlers.Customer.IndexQueryHandler,0.09876543209876543,0.004098360655737705,0.0,0.0,0.005843681519357195,0.0,0.026634382566585957,0.0,0
3671,Application.Areas.RmaAdmin.Handlers.CustomerUser.IndexQueryHandler,0.09259259259259259,0.004098360655737705,0.0,0.0,0.005843681519357195,0.0,0.026634382566585957,0.0,0
3672,Application.Areas.RmaAdmin.Handlers.DevolutionApproval.DetailsQueryHandler,0.06790123456790123,0.010245901639344263,0.0,0.0,0.007304601899196494,0.0,0.01694915254237288,0.0,0
3673,Application.Areas.RmaAdmin.Handlers.DevolutionApproval.IndexQueryHandler,0.11728395061728394,0.004098360655737705,0.0,0.0,0.006574141709276844,0.0,0.031476997578692496,0.0,0
3674,Application.Areas.RmaAdmin.Handlers.Inva.ExportQueryHandler,0.09876543209876543,0.034836065573770496,0.0,0.0,0.03579254930606282,0.0,0.053268765133171914,0.0,0
3675,Application.Areas.RmaAdmin.Handlers.Inva.IndexCommandHandler,0.12345679012345678,0.02459016393442623,0.0,0.0,0.027757487216946677,0.0,0.0774818401937046,0.0,0
3676,Application.Areas.RmaAdmin.Handlers.Inva.IndexQueryHandler,0.06172839506172839,0.006147540983606557,0.0,0.0,0.005843681519357195,0.0,0.02179176755447942,0.0,0
3677,Application.Areas.RmaAdmin.Handlers.LostWarrantyItemReport.IndexQueryHandler,0.08024691358024691,0.004098360655737705,0.0,0.0,0.005113221329437546,0.0,0.014527845036319613,0.0,0
3678,Application.Areas.RmaAdmin.Handlers.PerformTest.DetailsItemResultQueryHandler,0.07407407407407407,0.012295081967213115,0.0,0.56,0.013878743608473338,0.0,0.036319612590799036,0.0,0
3679,Application.Areas.RmaAdmin.Handlers.PerformTest.DetailsQueryHandler,0.08641975308641975,0.026639344262295084,0.0,0.0,0.018261504747991236,0.0,0.026634382566585957,0.0,0
3680,Application.Areas.RmaAdmin.Handlers.PerformTest.FinishCommandHandler,0.16049382716049382,0.03278688524590164,0.0,0.17,0.03506208911614317,0.0,0.07990314769975787,0.0,0
3681,Application.Areas.RmaAdmin.Handlers.PerformTest.IndexQueryHandler,0.13580246913580246,0.020491803278688527,0.0,0.0,0.017531044558071585,0.0,0.04358353510895884,0.0,0
3682,Application.Areas.RmaAdmin.Handlers.PerformTest.ItemResultQueryHandler,0.1111111111111111,0.0389344262295082,0.0,0.22,0.030679327976625273,0.0,0.07506053268765134,0.0,0
3683,Application.Areas.RmaAdmin.Handlers.PerformTest.Plant9ItemTestCycleFormCommandHandler,0.15432098765432098,0.05327868852459017,0.0,0.0,0.0606281957633309,0.0,0.13317191283292978,0.0,0
3684,Application.Areas.RmaAdmin.Handlers.PerformTest.RmaItemDetailsQueryHandler,0.037037037037037035,0.00819672131147541,0.0,0.0,0.005113221329437546,0.0,0.004842615012106538,0.0,0
3685,Application.Areas.RmaAdmin.Handlers.PerformTest.ScrapQueryHandler,0.037037037037037035,0.00819672131147541,0.0,0.0,0.005843681519357195,0.0,0.004842615012106538,0.0,0
3686,Application.Areas.RmaAdmin.Handlers.ReplacedItemsReport.IndexQueryHandler,0.09259259259259259,0.012295081967213115,0.0,0.0,0.006574141709276844,0.0,0.036319612590799036,0.0,0
3687,Application.Areas.RmaAdmin.Handlers.Replacement.UnlockToOutputDetailsQueryHandler,0.10493827160493827,0.0430327868852459,0.0,0.0,0.018261504747991236,0.0,0.07263922518159807,0.0,0
